unique_id,filename,source,corpus,date,word_count,path
FED_0153,FED_0153-2024-02-15.txt,FED,FED,2024-02-15,2989,/Users/pranav/Documents/culture-as-data-final-project/Extracts/FED/FED_0153-2024-02-15.txt
FED_0128,FED_0128-2021-03-29.txt,FED,FED,2021-03-29,3161,/Users/pranav/Documents/culture-as-data-final-project/Extracts/FED/FED_0128-2021-03-29.txt
FED_0219,FED_0219-2024-07-09.txt,FED,FED,2024-07-09,2816,/Users/pranav/Documents/culture-as-data-final-project/Extracts/FED/FED_0219-2024-07-09.txt
FED_0479,FED_0479-2025-08-22.txt,FED,FED,2025-08-22,4631,/Users/pranav/Documents/culture-as-data-final-project/Extracts/FED/FED_0479-2025-08-22.txt
FED_0223,FED_0223-2022-10-20.txt,FED,FED,2022-10-20,1179,/Users/pranav/Documents/culture-as-data-final-project/Extracts/FED/FED_0223-2022-10-20.txt
FED_0112,FED_0112-2025-05-12.txt,FED,FED,2025-05-12,3074,/Users/pranav/Documents/culture-as-data-final-project/Extracts/FED/FED_0112-2025-05-12.txt
FED_0401,FED_0401-2024-09-10.txt,FED,FED,2024-09-10,4449,/Users/pranav/Documents/culture-as-data-final-project/Extracts/FED/FED_0401-2024-09-10.txt
FED_0202,FED_0202-2023-06-16.txt,FED,FED,2023-06-16,1137,/Users/pranav/Documents/culture-as-data-final-project/Extracts/FED/FED_0202-2023-06-16.txt
FED_0246,FED_0246-2021-09-24.txt,FED,FED,2021-09-24,444,/Users/pranav/Documents/culture-as-data-final-project/Extracts/FED/FED_0246-2021-09-24.txt
FED_0388,FED_0388-2022-10-12.txt,FED,FED,2022-10-12,3934,/Users/pranav/Documents/culture-as-data-final-project/Extracts/FED/FED_0388-2022-10-12.txt
FED_0221,FED_0221-2022-06-23.txt,FED,FED,2022-06-23,1467,/Users/pranav/Documents/culture-as-data-final-project/Extracts/FED/FED_0221-2022-06-23.txt
