month_year,FED,MEDIA
2021-01,202.09398587776965,
2021-02,177.29140781802545,
2021-03,176.75128841381942,
2021-04,168.91891891891893,
2021-05,254.7745463190427,
2021-06,203.57757652870293,170.83120856705762
2021-07,282.7521206409048,173.63344051446947
2021-08,244.38674201924547,172.86844418400233
2021-09,160.22715748909846,251.87500000000003
2021-10,215.26153428929794,204.62102481029928
2021-11,179.41087678440508,250.08448800270364
2021-12,174.33455225784508,287.17347622237105
2022-01,,233.42939481268013
2022-02,245.46540675572933,279.4883941260066
2022-03,224.92480711390087,200.58997050147494
2022-04,169.80146290491118,142.07236218980867
2022-05,229.27522501184274,193.93054203180785
2022-06,165.4306902452938,226.46723133297291
2022-07,269.63961628208455,246.47540175490485
2022-08,252.1756329113924,177.26567693330378
2022-09,221.6454710615105,237.94829596105055
2022-10,238.3000252972426,218.68886994031197
2022-11,228.62037159045985,162.5712915089814
2022-12,180.13100436681222,200.90366306277232
2023-01,204.4153720359771,194.37410170419545
2023-02,232.2454467668989,199.44179555762295
2023-03,219.65419901199718,179.5276973048898
2023-04,202.93191180033924,243.48512766517504
2023-05,254.91377362753218,191.41569216698244
2023-06,206.96419813634134,200.99071912543417
2023-07,226.03719599427754,192.9860967005603
2023-08,269.37269372693726,228.6915949267267
2023-09,206.71834625322998,232.2231185893742
2023-10,196.41019778209673,142.32209737827714
2023-11,205.58506081891383,173.35766423357663
2023-12,182.3949246629659,
2024-01,,193.23009455940797
2024-02,,240.64711830131446
2024-03,,206.92757534862798
2024-04,,246.4324917672887
2024-05,,237.23410776681175
2024-06,,188.04141136699766
2024-07,,240.82889946793617
2024-08,,220.0594755339281
2024-09,,215.74762090992047
2024-10,,254.5655783065855
2024-11,,190.89132722080265
2024-12,,123.50035285815103
2025-01,,161.243881370573
2025-02,,153.27450069670226
2025-03,,193.89238972370333
2025-04,,152.76145710928319
2025-05,,171.4414617640424
2025-06,,194.86020898051396
2025-07,,294.64822609741435
2025-08,,246.72320740169621
2025-09,,266.0267398011656
2025-10,,241.73027989821884
2025-11,,207.0734835990471
2025-12,,155.3973902728351
