month_year,FED,MEDIA
2021-01,0.0,
2021-02,0.47787441460384217,
2021-03,3.817522427944264,
2021-04,0.0,
2021-05,4.3585070132340125,
2021-06,1.4968939450639922,8.924018357980621
2021-07,6.283380458686773,3.5727045373347623
2021-08,4.5822514128608525,7.32493407559332
2021-09,1.0140959334753068,3.75
2021-10,3.7289399640665786,2.557762810128741
2021-11,2.5876568766981496,12.069714671945155
2021-12,0.0,23.44273275284662
2022-01,,4.322766570605188
2022-02,0.0,0.0
2022-03,0.0,0.0
2022-04,0.0,0.9471490812653911
2022-05,0.0,0.0
2022-06,0.0,2.4028353457079357
2022-07,0.0,0.9859016070196194
2022-08,0.0,1.477213974444198
2022-09,0.0,0.6857299595419324
2022-10,0.0,2.006319907709284
2022-11,0.0,0.5330206278982997
2022-12,0.0,0.0
2023-01,0.0,0.0
2023-02,0.4074481522226297,0.5814629608093964
2023-03,0.0,1.316829075585989
2023-04,0.0,1.3161358252171624
2023-05,0.0,0.0
2023-06,0.0,1.70813642316233
2023-07,0.0,2.0751193193608635
2023-08,0.0,1.971479266609713
2023-09,0.0,0.0
2023-10,0.0,0.0
2023-11,0.0,0.0
2023-12,0.0,
2024-01,,13.704262025489927
2024-02,,2.0222446916076846
2024-03,,0.0
2024-04,,0.548847420417124
2024-05,,0.0
2024-06,,1.0564124234100993
2024-07,,0.0
2024-08,,0.0
2024-09,,0.0
2024-10,,0.0
2024-11,,0.0
2024-12,,0.0
2025-01,,0.0
2025-02,,0.0
2025-03,,0.0
2025-04,,0.0
2025-05,,0.0
2025-06,,0.9413536665725314
2025-07,,6.013229104028864
2025-08,,0.642508352608584
2025-09,,2.7425437092903673
2025-10,,0.0
2025-11,,0.0
2025-12,,0.0
