,gerund_ratio,gerund_ratio,specificity_gap,specificity_gap,process_density,process_density,modal_ratio,modal_ratio
corpus,FED,MEDIA,FED,MEDIA,FED,MEDIA,FED,MEDIA
month_year,,,,,,,,
2021-01,0.5517840481620806,,27.625,,17.064152609408076,,0.05633626055774393,
2021-02,0.7443935209188339,,15.65952380952381,,20.155886244410794,,0.05923131017906166,
2021-03,0.7615534602029949,,18.65,,17.520468963247783,,0.0783712281609776,
2021-04,0.47619047619047616,,53.0,,13.151405556468848,,0.03899721448467967,
2021-05,0.7115099074192277,,24.515873015873016,,9.01616168459871,,0.08561164398001747,
2021-06,0.7313370958326253,0.6019844264325221,17.041666666666668,6.833333333333333,11.403663944148931,3.3800122971132405,0.09888313936068996,0.07745640886596367
2021-07,1.0,0.632552811266224,20.0,6.563725490196078,37.94746930528934,1.9557625227076272,0.054969183359013865,0.06171017824579752
2021-08,0.6407734450945833,0.5719701974858734,10.425,5.833333333333334,16.902196903008946,9.25366393474435,0.10696903783324781,0.06895058397267148
2021-09,0.6421398662243734,0.5478958121355456,15.375,7.811111111111112,18.41065935926091,3.727822630908301,0.07286447751262366,0.07366077296415258
2021-10,0.7573628405471109,0.8071091217499118,15.941666666666668,8.166666666666668,19.16868743867275,2.460993455897128,0.09364134692263856,0.05271719984201019
2021-11,0.7763942462509226,0.5716455233217602,8.9,7.947368421052632,16.12011948054623,2.677075945144324,0.07590950153206039,0.093393419420043
2021-12,0.5752100840336134,0.5063036538103796,9.666666666666668,5.986111111111111,6.768128932234237,1.7352768976218318,0.11683039416145141,0.08034225297021388
2022-01,,0.6673237087627844,,7.047619047619048,,6.825379005943981,,0.0716909108436226
2022-02,0.8389883276695443,0.42634761562106016,22.25,8.777777777777779,19.878530724402598,3.610760829489554,0.08456244409908203,0.07032932631569717
2022-03,0.6987012987012987,0.5291891866935968,12.833333333333334,6.2,7.583438997408127,0.0,0.06364944826483289,0.053029789826904095
2022-04,0.8314606741573034,0.45204555976283345,14.333333333333334,11.497222222222222,20.798668885191347,5.473768230601578,0.07692307692307693,0.052815048245830935
2022-05,0.7350339255936978,0.5816901516925435,14.833333333333332,10.076923076923077,9.195370872196229,5.814404792707273,0.0817399854808614,0.10471508239425477
2022-06,0.6023088823865739,0.6695047261734264,4.666666666666666,8.981481481481481,15.720119433404541,5.1260621445269585,0.10647159857686174,0.07562395713415747
2022-07,0.564050801397593,0.6308457304127877,25.333333333333332,8.511363636363637,17.777403617734844,2.9435211843820976,0.07550647239517219,0.07923772627432409
2022-08,0.9845530886038626,0.5075418371045832,13.680000000000001,10.75,23.119442623652287,1.260239445494644,0.061359794649867586,0.054590756654070975
2022-09,0.8101090761329164,0.6855527533494813,9.119047619047619,8.588235294117647,20.897219000089486,3.2718362976871047,0.08842210704020514,0.05272520000088899
2022-10,0.7745612003792964,0.5585728819999647,14.108333333333334,9.2,13.625618163772023,3.870781115540711,0.09820607687613635,0.05934971309705127
2022-11,0.689642367067377,0.46099472556001664,16.291666666666668,9.212121212121211,6.047416036000196,5.5455200931980535,0.07446395446693306,0.06923879462724654
2022-12,0.5098039215686274,0.5996086437715422,6.6,7.955128205128205,20.300446609825418,3.5058915210696613,0.12109375,0.05373594287813231
2023-01,0.6526959630228202,0.5075043719709,16.97222222222222,9.898148148148147,11.675885998167779,5.022128120173316,0.07507893768684858,0.03129479211632159
2023-02,0.5778980971306723,0.5170367463847325,8.479166666666666,10.283333333333333,22.298996726951838,5.6005485419784105,0.09407780513112249,0.06399513849426386
2023-03,0.5907302646140629,0.5738008873436574,20.020833333333332,11.02,16.022551494665823,3.8288706885218198,0.09424288649653528,0.07885606809384052
