month_year,FED,MEDIA
2021-01,0.0,
2021-02,0.0,
2021-03,0.0,
2021-04,0.0,
2021-05,0.0,
2021-06,0.0,0.0
2021-07,0.0,0.0
2021-08,0.0,0.0
2021-09,0.0,0.0
2021-10,0.0,0.0
2021-11,0.0,0.0
2021-12,0.0,0.0
2022-01,,0.0
2022-02,1.0861301183881829,0.0
2022-03,5.230809467765136,1.1799410029498525
2022-04,0.0,0.9471490812653911
2022-05,0.9474182851729038,4.868549172346641
2022-06,0.0,1.2014176728539678
2022-07,6.481721545242416,0.4929508035098097
2022-08,0.0,0.0
2022-09,0.5190760446405398,0.6857299595419324
2022-10,0.0,0.0
2022-11,0.0,0.5330206278982997
2022-12,0.0,2.0171050508310473
2023-01,1.4866572511707428,3.422079255355554
2023-02,0.0,3.488777764856379
2023-03,0.4410726887791108,1.316829075585989
2023-04,0.0,1.3161358252171624
2023-05,0.0,0.0
2023-06,0.0,0.0
2023-07,0.0,2.0751193193608635
2023-08,0.0,6.5715975553657096
2023-09,0.0,3.4574161576581766
2023-10,0.0,0.0
2023-11,0.24474412002251647,9.124087591240876
2023-12,0.0,
2024-01,,6.852131012744963
2024-02,,0.6740815638692282
2024-03,,1.9278966647387699
2024-04,,0.548847420417124
2024-05,,0.0
2024-06,,5.282062117050497
2024-07,,1.4001680201624196
2024-08,,2.703433360367667
2024-09,,10.428888019814886
2024-10,,0.0
2024-11,,0.7515406583496167
2024-12,,1.7642907551164433
2025-01,,0.0
2025-02,,0.0
2025-03,,0.9694619486185168
2025-04,,0.0
2025-05,,0.0
2025-06,,0.0
2025-07,,0.0
2025-08,,0.0
2025-09,,0.0
2025-10,,0.0
2025-11,,0.0
2025-12,,0.0
