month_year,FED,MEDIA
2021-01,1.6232448664881096,
2021-02,2.8672464876230523,
2021-03,1.5270089711777055,
2021-04,2.2522522522522523,
2021-05,1.1886837308820033,
2021-06,0.7484469725319961,0.0
2021-07,3.1416902293433866,0.7145409074669524
2021-08,0.763708568810142,1.464986815118664
2021-09,2.0281918669506136,1.25
2021-10,2.7119563375029663,0.852587603376247
2021-11,2.5876568766981496,0.9655771737556125
2021-12,0.8504124500382685,0.8372404554588078
2022-01,,0.0
2022-02,3.258390355164549,1.1842728564661298
2022-03,0.0,0.0
2022-04,2.6123301985370952,0.0
2022-05,0.9474182851729038,0.8114248620577734
2022-06,2.852253280091272,1.8021265092809515
2022-07,2.5926886180969664,0.0
2022-08,0.0,0.738606987222099
2022-09,1.0381520892810796,0.6857299595419324
2022-10,1.5178345560333923,0.501579976927321
2022-11,1.3176966662274345,0.5330206278982997
2022-12,1.819505094614265,1.6136840406648378
2023-01,0.0,0.0
2023-02,2.4446889133357783,0.0
2023-03,1.3232180663373325,1.316829075585989
2023-04,0.6057669008965351,1.3161358252171624
2023-05,4.141878153475412,1.3065917554060233
2023-06,4.904364884747426,1.1387576154415533
2023-07,2.861230329041488,1.0375596596804317
2023-08,0.0,1.3143195110731418
2023-09,1.9876764062810575,2.3049441051054513
2023-10,0.685949468389162,0.0
2023-11,1.7132088401576153,0.0
2023-12,1.3217023526301876,
2024-01,,0.0
2024-02,,0.0
2024-03,,1.28526444315918
2024-04,,0.548847420417124
2024-05,,0.6130080304051984
2024-06,,1.0564124234100993
2024-07,,0.0
2024-08,,0.0
2024-09,,0.6518055012384304
2024-10,,0.0
2024-11,,0.7515406583496167
2024-12,,3.5285815102328866
2025-01,,0.0
2025-02,,0.0
2025-03,,2.90838584585555
2025-04,,0.0
2025-05,,0.0
2025-06,,1.8827073331450628
2025-07,,0.0
2025-08,,1.285016705217168
2025-09,,1.3712718546451836
2025-10,,0.0
2025-11,,1.832508704416346
2025-12,,1.1862396204033214
