month_year,FED,MEDIA
2021-01,101.45280415550685,
2021-02,63.07942272770716,
2021-03,106.89062798243938,
2021-04,78.82882882882882,
2021-05,97.47206593232428,
2021-06,63.617992665219674,86.69046404895462
2021-07,109.95915802701853,102.17934976777421
2021-08,97.75469680769818,101.08409024318782
2021-09,86.19815434540108,79.375
2021-10,96.95243906573104,77.58547190723847
2021-11,65.1226980635701,83.52242552986047
2021-12,125.01063015562548,95.44541192230409
2022-01,,76.36887608069165
2022-02,150.97208645595742,72.24064424443391
2022-03,75.84673728259449,76.6961651917404
2022-04,44.40961337513062,56.35537033529077
2022-05,90.00473709142587,79.51963648166179
2022-06,94.12435824301198,77.49143989908092
2022-07,88.15141301529687,100.56196391600119
2022-08,110.75949367088607,78.2923406455425
2022-09,76.30417856215935,87.08770486182542
2022-10,163.9261320516064,74.73541656217084
2022-11,88.94452497035182,77.82101167315176
2022-12,60.043668122270745,102.87235759238341
2023-01,68.38623355385415,78.70782287317773
2023-02,76.60025261785438,85.47505523898128
2023-03,67.04304869442484,72.4255991572294
2023-04,66.02859219772232,98.71018689128718
2023-05,78.69568491603283,77.08891356895538
2023-06,51.986267778322706,96.79439731253204
2023-07,92.51311397234144,74.70429549699108
2023-08,119.92619926199262,61.115857264901095
2023-09,101.37149672033392,62.233490837847185
2023-10,64.02195038298845,59.925093632958806
2023-11,87.37365084803838,136.86131386861314
2023-12,63.44171292624901,
2024-01,,75.3734411401946
2024-02,,62.01550387596899
2024-03,,98.32272990167726
2024-04,,48.298572996706916
2024-05,,68.04389137497701
2024-06,,57.04627086414536
2024-07,,75.60907308877064
2024-08,,63.801027304676936
2024-09,,61.92152261765089
2024-10,,62.71905552481092
2024-11,,96.94874492710056
2024-12,,107.62173606210304
2025-01,,115.1742009789807
2025-02,,66.57377302988078
2025-03,,98.88511875908871
2025-04,,36.93134127916736
2025-05,,87.97653958944282
2025-06,,71.54287865951238
2025-07,,60.132291040288635
2025-08,,71.9609354921614
2025-09,,78.16249571477545
2025-10,,25.445292620865143
2025-11,,86.73874534237372
2025-12,,87.78173190984579
